Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Genre,Description
39,La habitación de Marvin,1996,1h 38m,7,"6,7", (32 mil),Jerry Zaks,"Meryl Streep, Leonardo DiCaprio, Diane Keaton",Family,"Tras 20 años cuidando a su padre, una mujer con cáncer debe volver a contactar con su odiosa hermana y su sobrino, que no ha visto desde su diagnóstico. Su amor ayuda al rebelde sobrino y su hermana aprende a relacionarse con los demás."
40,El gato,1971,1h 26m,16,"7,5"," (2,6 mil)",Pierre Granier-Deferre,"Jean Gabin, Simone Signoret, Annie Cordy",Family,"En 1971, en Courbevoie (Francia), el antiguo tipógrafo Julien Bouin y su esposa Clemence, apenas se hablan. Para enfado de Clemence, el gato de Julien, Greffier, es el único que recibe su atención, por no hablar de su amor."
41,La gata sobre el tejado de zinc,1958,1h 48m,16,"7,9", (56 mil),Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives",Family,"Brick es un exfutbolista alcohólico que se pasa los días bebiendo y se resiste a los afectos de su mujer. El reencuentro con su padre, en estado terminal, provoca una serie de recuerdos y revelaciones tanto para el padre como para el hijo."
42,Kramer contra Kramer,1979,1h 45m,A,"7,8", (163 mil),Robert Benton,"Dustin Hoffman, Meryl Streep, Jane Alexander",Family,"Después de que su esposa lo deje, un ejecutivo publicitario de Manhattan obsesionado con el trabajo debe aprender habilidades de paternidad olvidadas, pero la batalla por la custodia de su hijo profundiza las heridas de la separación."
43,American Beauty,1999,2h 2m,18,"8,3"," (1,3 M)",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch",Family,Un padre de clase media sexualmente frustrado sufre una crisis de los 40 tras enamorarse de la mejor amiga de su hija.
44,Una familia con clase,2008,1h 37m,PG-13,"6,6", (23 mil),Stephan Elliott,"Jessica Biel, Ben Barnes, Kristin Scott Thomas",Family,"Un joven inglés se casa con una estadounidense glamorosa. Cuando él la lleva a casa para conocer a los padres, ella llega como una explosión del futuro, sacando por la ventana su arraigada congestión británica."
45,Belle maman,1999,1h 42m,,"5,5"," (1,1 mil)",Gabriel Aghion,"Catherine Deneuve, Vincent Lindon, Mathilde Seigner",Family,"On his wedding day, Antoine falls madly in love with Léa, his mother-in-law."
46,Amor,1971,1h 28m,,"7,8"," (2,4 mil)",Károly Makk,"Lili Darvas, Mari Töröcsik, Iván Darvas",Family,"The wife of a political prisoner tends to her mother-in-law and keeps from the old woman the truth about her son, whom she believes is in New York making a film."
47,Amor,2012,2h 7m,12,"7,9", (109 mil),Michael Haneke,"Jean-Louis Trintignant, Emmanuelle Riva, Isabelle Huppert",Family,"Georges y Anne con una pareja octogenaría. Cuando Anne sufre un infarto, su vínculo de amor es puesto a prueba."
48,Lyubov i golubi,1985,1h 47m,Not Rated,"7,9"," (6,2 mil)",Vladimir Menshov,"Aleksandr Mikhaylov, Nina Doroshina, Lyudmila Gurchenko",Family,"Injured on the job Vasily Kuzyakin gets a ticket to the resort. There he meets femme fatale Raisa Zakharovna, and once under the charm, moves to live with her. Unfortunately, a new life is not all that sweet as dreamed hapless Vasily."
49,Martha,1974,1h 56m,Not Rated,"7,5"," (3,2 mil)",Rainer Werner Fassbinder,"Margit Carstensen, Karlheinz Böhm, Barbara Valentin",Family,"Tras la muerte de su padre, un abusador, Marta, una bibliotecaria solitaria, se casa con un hombre igualmente despreciable: Helmut."
50,Mother,2009,2h 9m,16,"7,7", (78 mil),Bong Joon Ho,"Kim Hye-ja, Won Bin, Jin Goo",Family,Una madre busca desesperadamente al asesino que incriminó a su hijo en la muerte de una chica.
51,Machekha,1973,1h 24m,,"7,3", (391),Oleg Bondarev,"Tatyana Doronina, Leonid Nevedomsky, Nadezhda Fedosova",Family,"The news suddenly comes to the family of Pavel Olevantsev that his daughter has been orphaned by another woman. Pavel did not know about the existence of the girl, and his wife could not know about it either."
52,Obyasneniye v lyubvi,1978,2h 15m,,"7,4", (181),Ilya Averbakh,"Ewa Szykulska, Yuriy Bogatyryov, Angelina Stepanova",Family,"The life of Filipok, a young man with a romantic personality, which happens in the first half of the 20th century in Soviet Russia. Filipok finds love with a young women, Zinochka who is of aristocratic roots."
53,Mirando hacia atrás con ira,1959,1h 38m,Approved,"7,0"," (4,7 mil)",Tony Richardson,"Richard Burton, Claire Bloom, Mary Ure",Family,Un licenciado universitario decepcionado y airado intenta reconciliarse con el rencor que siente hacia la vida y los valores de la clase media.
54,Odnazhdy dvadtsat let spustya,1981,1h 17m,,"7,2", (529),Yuri Yegorov,"Natalya Gundareva, Evgeniy Lazarev, Oleg Efremov",Family,After 20 years classmates get together and discuss their unfulfilled dreams and unmet goals.
55,Sonata de otoño,1978,1h 39m,16,"8,1", (41 mil),Ingmar Bergman,"Ingrid Bergman, Liv Ullmann, Lena Nyman",Family,"Una hija casada que anhela el amor de su madre recibe la visita de esta, una exitosa concertista de piano."
56,Para gnedykh,2010,1h 36m,,"6,7", (29),Sergey Krutin,"Irina Kupchenko, Mikhail Zhigalov, Agniya Kuznetsova",Family,"For the summer, a granddaughter, a student Irina, comes to her grandmother Lydia Petrovna, who lives by the sea. There is a difficult relationship between them: they rarely see each other, since Irina's father (Lydia Petrovna's son) died a long time ago, and the relationship between the daughter-in-law and mother-in-law did not work out from the very beginning. At first glance, grandmother and granddaughter are very different. Irina is amused by the old-fashioned delicacy of Lydia Petrovna, and that, in turn, worries about the directness of her granddaughter. But gradually a spiritual closeness and mutual understanding arise between them, and the granddaughter begins to change under the influence of her grandmother."
57,Pelle el Conquistador,1987,2h 37m,PG-13,"7,7", (12 mil),Bille August,"Pelle Hvenegaard, Max von Sydow, Erik Paaske",Family,"Cuando muere su esposa, Lasse se lleva a su hijo de 12 años, Pelle, de su casa en Suecia a Dinamarca en busca de una vida mejor."
58,Pather Panchali (La canción del camino),1955,2h 5m,A,"8,2", (41 mil),Satyajit Ray,"Kanu Bannerjee, Karuna Bannerjee, Chunibala Devi",Family,Apu y su familia viven en la pobreza. Su padre Harihar sueña con una vida mejor para su familia y emprende un viaje fuera de su pueblo en Bengal para buscar trabajo. Pero en su ausencia ocurre una tragedia.
59,Los descendientes,2011,1h 55m,7,"7,3", (258 mil),Alexander Payne,"George Clooney, Shailene Woodley, Amara Miller",Family,Un terrateniente intenta contactar con sus hijas después de que su esposa resultara gravemente herida en un accidente de navegación.
60,El nido de Adán,1991,1h 19m,,"7,3", (444),Vyacheslav Krishtofovich,"Inna Churikova, Yelena Bogdanova, Svetlana Ryabova",Family,"A tragicomedy about four women of three generations living in a small Moscow flat: a sick grandmother who needs attention; a mother who cannot manage her personal life; and two daughters, each of whom have their own challenges."
61,Pregi,2004,1h 31m,,"7,1"," (1,4 mil)",Magdalena Piekorz,"Michal Zebrowski, Jan Frycz, Agnieszka Grochowska",Family,"Wiktor, who was mistreated by his father as a child, is now a tormented grown-up. He meets beautiful Tania and wants to settle down but it's not easy to get rid of childhood traumas."
62,S vechera do poludnya,1982,2h 18m,,"7,3", (73),Konstantin Khudyakov,"Vsevolod Sanaev, Leonid Filatov, Lyudmila Saveleva",Family,
63,Bellísima,1951,1h 54m,14,"7,7"," (5,9 mil)",Luchino Visconti,"Anna Magnani, Walter Chiari, Tina Apicella",Family,A woman from the lower class desperately tries to get her daughter into the movies.
64,Crónica familiar,1962,1h 53m,Approved,"7,1"," (1,3 mil)",Valerio Zurlini,"Marcello Mastroianni, Jacques Perrin, Sylvie",Family,A man recalls the life of his late younger brother.
65,Asuntos de familia,2009,1h 44m,7,"7,3", (33 mil),Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait",Family,"El guardia de la prisión, Vince le dice a Molly de la clase de actuación, que un recluso tiene 24 años."
66,Smrt krásných srncu,1987,1h 31m,,"7,5", (662),Karel Kachyna,"Karel Hermánek, Rudolf Hrusínský, Jirí Krampol",Family,"During World War II, Leo Popper, a travel agent traveling across the country to sell vacuum cleaners, loses his job, for the sole fault of being Jewish. When his two sons are sent to the camp, in order to provide them food for the road, the poor father is forced to kill a deer, a being he considered sacred."
67,Starshiy syn,1976,2h 20m,,"7,9"," (1,4 mil)",Vitaliy Melnikov,"Evgeniy Leonov, Natalya Egorova, Vladimir Izotov",Family,"Late for the last commuter train and reluctant to spend the night outdoors, two young men trick a family into letting them stay in their apartment: one of them insists that he's the illegitimate son of the man who owns the apartment."
68,Staryy novyy god,1981,2h 18m,,"7,1", (552),Naum Ardashnikov,"Oleg Efremov, Vyacheslav Nevinnyy, Aleksandr Kalyagin, Kseniya Minina",Family,"Two men, sharing the same first name and living in the same building but each with different background and attitude to life, have to rethink their views in the midst of crowded winter holiday celebration."
69,Entre nosotros,2009,1h 59m,Unrated,"6,6"," (4,3 mil)",Maren Ade,"Lars Eidinger, Birgit Minichmayr, Hans-Jochen Wagner",Family,"Durante unas vacaciones en el Mediterráneo, una pareja aparentemente feliz ve cómo se pone a prueba su relación cuando conocen a otra pareja."
70,La vergüenza,1968,1h 43m,18,"8,0", (16 mil),Ingmar Bergman,"Liv Ullmann, Max von Sydow, Sigge Fürst",Family,"Jan y Eva Rosenberg, dos antiguos violinistas con un matrimonio tempestuoso, dirigen una granja en una isla en plena guerra civil. A pesar de haberlo intentado todo para huir de su patria, la guerra interfiere en todos los aspectos de sus vidas."
71,Secretos de un matrimonio,1974,2h 49m,PG,"8,3"," (9,9 mil)",Ingmar Bergman,"Liv Ullmann, Erland Josephson, Bibi Andersson",Family,"""Escenas de un matrimonio"" narra los muchos años de amor y crisis que vinculan a Marianne y Johan a lo largo del matrimonio, la infidelidad, el divorcio y sus posteriores parejas."
72,La felicidad,1965,1h 20m,18,"7,6", (11 mil),Agnès Varda,"Jean-Claude Drouot, Claire Drouot, Olivier Drouot",Family,"François, un joven carpintero, vive una vida feliz y sin complicaciones con su mujer Thérèse y sus dos hijos. Un día conoce a Emilie en el mostrador de Correos."
73,El baile de agosto,1998,1h 35m,T,"6,3"," (4,4 mil)",Pat O'Connor,"Gerard McSorley, Meryl Streep, Michael Gambon",Family,Cinco hermanas solteras aprovechan al máximo su sencilla existencia en la Irlanda rural de los años treinta.
74,Cuentos de Tokio,1953,2h 17m,A,"8,1", (76 mil),Yasujirô Ozu,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura",Family,"Un matrimonio de ancianos viaja a Tokio a visitar a sus hijos pero encuentran indiferencia, ingratitud egoísmo y una marcada diferencia cultural. Cuando los impacientes hijos envían a los ancianos de vuelta a casa, entramos en una profunda reflexión acerca de la mortalidad y la familia."
75,Tokyo Sonata,2008,2h,PG-13,"7,6", (13 mil),Kiyoshi Kurosawa,"Teruyuki Kagawa, Kyôko Koizumi, Yû Koyanagi",Family,Una familia japonesa común se desintegra lentamente después de que su patriarca pierde su trabajo en una empresa importante.
76,Celebración,1998,1h 41m,18,"8,0", (99 mil),Thomas Vinterberg,"Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen",Family,"En la fiesta de cumpleaños número 60 de Helge, se revelan algunas verdades familiares desagradables."
77,Fanny y Alexander,1982,3h 8m,R,"8,1", (70 mil),Ingmar Bergman,"Kristina Adolphson, Börje Ahlstedt, Pernilla Allwin",Family,"Dos jóvenes suecos viven las múltiples comedias y tragedias de su familia, los Ekdahl."
78,Fantazii Faryateva,1982,2h 32m,,"7,7", (428),Ilya Averbakh,"Marina Neyolova, Andrey Mironov, Zinaida Sharko",Family,"A funny and sad story of mismatched love, family and life surprises."
79,El color púrpura,1985,2h 34m,A,"7,7", (102 mil),Steven Spielberg,"Danny Glover, Whoopi Goldberg, Margaret Avery",Family,Una mujer negra sureña lucha por encontrar su identidad tras sufrir los abusos de su padre y de otras personas durante cuatro décadas.
80,Semilla de crisantemo,1990,1h 35m,13,"7,6"," (9,5 mil)",Fengliang Yang,"Yimou Zhang, Gong Li, Wei Li, Baotian Li",Family,"In rural China, the young bride of a tyrannical owner of a silk-dyeing business finds temporary solace in the arms of her husband's nephew, but problems arise when she becomes pregnant."
81,Hace tanto que te quiero,2008,1h 57m,13,"7,6", (21 mil),Philippe Claudel,"Kristin Scott Thomas, Elsa Zylberstein, Serge Hazanavicius",Family,Una mujer hace esfuerzos por integrarse en su familia y su comunidad tras pasar quince años en prisión.
82,5x2 (Cinco veces dos),2004,1h 30m,18,"6,6", (11 mil),François Ozon,"Valeria Bruni Tedeschi, Stéphane Freiss, Françoise Fabian",Family,Cinco etapas del romance entre una mujer y un hombre.
83,Almanya,2011,1h 41m,,"7,1"," (7,4 mil)",Yasemin Samdereli,"Vedat Erincin, Fahri Yardim, Lilay Huser",Family,"Después de vivir 45 años en Alemania, el turco Hüseyin Yilmaz, de 70 años, anuncia a su familia que ha comprado una casa en Turquía y que deben volver para hacer las reformas. La idea no es bien recibida y provoca discusiones."
84,Ana y los lobos,1973,1h 40m,,"7,3"," (2,1 mil)",Carlos Saura,"Geraldine Chaplin, Fernando Fernán Gómez, José María Prada",Family,Una institutriz británica llega a una casa aislada para cuidar a los hijos de una familia complicada.
85,Se escapó la suerte,1947,1h 24m,,"7,3"," (1,2 mil)",Jacques Becker,"Roger Pigaut, Claire Mafféi, Noël Roquevert",Family,"Working class couple Antoine and Antoinette dream of a better life. In the midst of constantly fending off the unwanted attention of men, especially the grocer Monsieur Roland, Antoinette purchases a winning lottery ticket. But when Antoine loses their ticket out of poverty, their dreams seem like they'll remain just that."
86,Belye rosy,1984,1h 24m,,"7,5", (715),Igor Dobrolyubov,"Vsevolod Sanaev, Nikolay Karachentsov, Mikhail Kokshenov",Family,"An old war veteran worries about his three sons - a smart one, a strong one and a kind one."
87,Una cuestión de tiempo,2013,2h 3m,A,"7,8", (422 mil),Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy",Family,"A los 21 años, Tim descubre que puede viajar en el tiempo y cambiar lo que ocurre y ha ocurrido en su propia vida. Su decisión de hacer de su mundo un lugar mejor, consiguiendo una novia, resulta no ser tan fácil como podría pensarse."
88,"Eugenio, un niño sin amor",1980,1h 50m,,"7,0", (141),Luigi Comencini,"Saverio Marconi, Dalila Di Lazzaro, Bernard Blier",Family,"The film begins when Eugenio, a 14 year old child, is conduced from his grandparents home outside Rome, to Giancarlo (his father) in the city, by Giancarlo's friend (called ""Moustache""). As Eugenio is bothering Moustache, he threatens Eugenio with leaving him in the middle of the country. He finally does it. When Giancarlo finds out, they return for Eugenio, but he is now lost. Meanwhile we're told the story of the child and his relation with the family, and why he feels unwanted."
89,Viaje a la felicidad de mamá Kusters,1975,2h,,"7,5"," (2,4 mil)",Rainer Werner Fassbinder,"Brigitte Mira, Ingrid Caven, Margit Carstensen",Family,"Una pareja marxista convence a la viuda de un obrero de ingresar al partido comunista, donde es utilizada con fines electorales."
90,Los amantes de María,1984,1h 49m,R,"6,5"," (3,1 mil)",Andrei Konchalovsky,"Nastassja Kinski, John Savage, Robert Mitchum",Family,"Ivan sobrevive a un campo de concentración japonés y regresa a su Pittsburg natal donde reside su amor de juventud, Maria. Se casan, pero esto no pone a un lado los problemas que Ivan ha traído consigo de la guerra."
91,La octava mujer de Barba Azul,1938,1h 25m,Approved,"7,1"," (5,1 mil)",Ernst Lubitsch,"Claudette Colbert, Gary Cooper, Edward Everett Horton",Family,"Después de enterarse de que su prometido multimillonario ya se ha casado siete veces, la hija de un marqués sin dinero decide domarlo."
92,Vpervye zamuzhem,1980,1h 39m,,"7,1", (126),Iosif Kheifits,"Evgeniya Glushenko, Nikolay Volkov, Valentina Telichkina",Family,"At the age of 20, Tosya gave birth to a daughter - alone, without a husband. At 30, personal happiness has become an unattainable dream. She devoted herself entirely to her beloved daughter."
93,Vy ne ostavite menya,2006,1h 53m,,"5,7", (46),Alla Surikova,"Aleksandr Baluev, Elizaveta Boyarskaya, Aleksandr Adabashyan",Family,
