Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Genre,Description
47,Murder Party,2007,1h 19m,18,5.8, (13K),Jeremy Saulnier,"Chris Sharp, Kate Porterfield, Tess Porterfield Lovell",Horror,"A random invitation to a Halloween party leads a man into the hands of a rogue collective intent on murdering him for the sake of their art, sparking a bloodbath of mishap, mayhem and hilarity."
48,Marebito,2004,1h 32m,R,6.0, (6K),Takashi Shimizu,"Shin'ya Tsukamoto, Tomomi Miyashita, Kazuhiro Nakahara",Horror,A fear-obsessed freelance cameraman investigates an urban legend involving mysterious spirits that haunt the subways of Tokyo.
49,La novia ensangrentada,1972,1h 42m,R,6.2, (2.7K),Vicente Aranda,"Simón Andreu, Maribel Martín, Alexandra Bastedo",Horror,"Newlywed Susan is haunted by visions of Mircalla Karnstein, a centuries-old bride who murdered her husband on their wedding night."
50,Final Destination 3,2006,1h 33m,18,5.9, (180K),James Wong,"Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche",Horror,Wendy Christensen and a group of teens who escaped a fatal roller-coaster crash face a bloody date with Death.
51,Vamp,1986,1h 33m,R,5.9, (7.9K),Richard Wenk,"Chris Makepeace, Sandy Baron, Robert Rusler",Horror,"Two fraternity pledges travel to a sleazy bar in search of a stripper for their college friends, unaware it is occupied by vampires."
52,The Village,2004,1h 48m,12,6.6, (293K),M. Night Shyamalan,"Sigourney Weaver, William Hurt, Joaquin Phoenix",Horror,A series of events tests the beliefs of a small isolated countryside village.
53,Would You Rather,2012,1h 33m,Not Rated,5.7, (49K),David Guy Levy,"Brittany Snow, Jeffrey Combs, Jonny Coyne",Horror,"Desperate to help her ailing brother, a young woman unknowingly agrees to compete in a deadly game of ""Would You Rather,"" hosted by a sadistic aristocrat."
54,Scream and Scream Again,1970,1h 35m,R,5.5, (4.9K),Gordon Hessler,"Vincent Price, Christopher Lee, Peter Cushing",Horror,A serial killer who drains his victims' blood is on the loose in London. The police follow him to a house owned by an eccentric scientist.
55,Curse of Chucky,2013,1h 37m,15,5.6, (47K),Don Mancini,"Chantal Quesnelle, Fiona Dourif, Jordan Gavaris",Horror,"After her mother's mysterious death, Nica begins to suspect that Chucky may be the key to recent bloodshed and chaos."
56,Scarecrows,1988,1h 23m,R,5.3, (6.1K),William Wesley,"Ted Vernon, Michael David Simms, Richard Vidan",Horror,Bank robbers parachute from a hijacked plane into a field full of killer scarecrows.
57,Gui da gui,1980,1h 42m,15,7.0, (3.1K),Sammo Kam-Bo Hung,"Sammo Kam-Bo Hung, Fat Chung, Lung Chan",Horror,"A rickshaw driver's wife and his rich client are secret lovers, and they decide to get rid of him without being implicated, so they hire a powerful sorcerer to kill him, but the sorcerer's colleague intervenes to protect him."
58,The Taking,2014,1h 30m,15,6.0, (47K),Adam Robitel,"Jill Larson, Anne Ramsay, Michelle Ang",Horror,"An elderly woman battling Alzheimer's disease agrees to let a film crew document her condition, but what they discover is something far more sinister going on."
59,Valkoinen peura,1952,1h 14m,Not Rated,6.9, (2.9K),Erik Blomberg,"Mirjami Kuosmanen, Kalervo Nissilä, Åke Lindman",Horror,"A newlywed woman goes to the local shaman to get some help with her love life, but instead she gets turned into a white reindeer vampire."
60,The Sorcerers,1967,1h 26m,Unrated,6.2, (2.6K),Michael Reeves,"Boris Karloff, Elizabeth Ercy, Ian Ogilvy",Horror,"An aging hypnotist creates a device that allows the user to control the mind of another person, but his wife abuses its power by manipulating a younger man to commit evil acts."
61,The Night Flier,1997,1h 37m,18,6.0, (13K),Mark Pavia,"Miguel Ferrer, Julie Entwisle, Dan Monahan",Horror,A reporter is on the trail of a vampiric murderer who travels by plane.
62,The Asphyx,1972,1h 39m,PG,6.2, (3.4K),Peter Newbrook,"Robert Stephens, Robert Powell, Jane Lapotaire",Horror,"English country squire Sir Hugo Cunningham searches for immortality by literally 'bottling up' the Spirit of the Dead, or Asphyx."
63,The Stone Tape,1972,1h 30m,,6.3, (2.4K),Peter Sasdy,"Michael Bryant, Jane Asher, Iain Cuthbertson",Horror,"A research team from an electronics company moves into an old Victorian house to start work on finding a new recording medium. When team member Jill Greeley witnesses a ghost, team director Peter Brock decides not only to analyse the apparition, which he believes is a psychic impression trapped in a stone wall (dubbed a ""stone tape""), but also to exorcise it--with terrifying results."
64,Auch Zwerge haben klein angefangen,1970,1h 36m,Not Rated,6.7, (6.6K),Werner Herzog,"Helmut Döring, Paul Glauer, Gisela Hertwig",Horror,A group of dwarfs at a correctional facility erupt in anarchy.
65,Isolation,2005,1h 35m,R,5.6, (8.4K),Billy O'Brien,"John Lynch, Essie Davis, Sean Harris",Horror,"On a remote Irish farm, five people become unwilling participants in an experiment that goes nightmarishly wrong."
66,Pandorum,2009,1h 48m,18,6.7, (166K),Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet",Horror,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone."
67,Dementia,1955,56m,Not Rated,6.7, (2.8K),John Parker,"Bruno VeSota, Adrienne Barrett, Bruno VeSota, Ben Roseman",Horror,"This film, with no dialogue at all, follows a psychotic young woman's nightmarish experiences through one skid-row night."
68,The Tunnel,2011,1h 34m,Not Rated,5.8, (25K),Carlo Ledesma,"Bel Deliá, Andy Rodoreda, Steve Davis",Horror,An investigation into a government cover-up leads to a network of abandoned train tunnels deep beneath the heart of Sydney. As a journalist and her crew hunt for the story it quickly becomes clear the story is hunting them.
69,Friday the 13th: A New Beginning,1985,1h 32m,18,4.8, (48K),Danny Steinmann,"Anthony Barrile, Suzanne Bateman, Dominick Brascia",Horror,"Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area."
70,Dead Set,2008,5 eps,TV-MA,7.5, (22K),Paul 'Bubble' Ferguson,"Jaime Winstone, Andy Nyman",Horror,"During a fictional series of Big Brother, a zombie outbreak occurs, but the house-mates are unaware of the impending doom outside of the Big Brother House."
71,The Hamiltons,2006,1h 26m,R,5.0, (9.2K),Mitchell Altieri,"Phil Flores, Cory Knauf, Samuel Child, Joseph McKelheer",Horror,"Four young adult siblings, who harbor some dark secrets, try to fend for themselves after the mysterious death of their parents."
72,미래의 묵시록,1994,4 eps,Not Rated,7.1, (41K),Gary Sinise,"Molly Ringwald, Jamey Sheridan",Horror,"After a deadly plague kills most of the world's population, the remaining survivors split into two groups - one led by a benevolent elder and the other by a malevolent being - to face each other in a final battle between good and evil."
73,Baby Blood,1990,1h 28m,R,6.0, (2.6K),Alain Robak,"Emmanuelle Escourrou, Christian Sinniger, Jean-François Gallotte",Horror,When a strange creature crawls into a woman's uterus she becomes a killer in order to feed the tiny terror growing within her.
74,새장속의 여인,1964,1h 34m,Approved,6.7, (4.1K),Walter Grauman,"Olivia de Havilland, James Caan, Jennifer Billingsley",Horror,A woman trapped in a home elevator is terrorized by a group of vicious hoodlums.
75,Yi boh lai beng duk,1996,1h 38m,18,6.5, (5.3K),Herman Yau,"Anthony Chau-Sang Wong, Yeung-Ming Wan, Shing Fui-On",Horror,"A Chinese restaurant worker wanted for murder in Hong Kong contracts Ebola in South Africa, becomes immune to it, and unknowingly spreads the virus there, then comes back to Hong Kong and continues to infect people with it."
76,Misterios de ultratumba,1959,1h 22m,Approved,6.8, (871),Fernando Méndez,"Gastón Santos, Rafael Bertrand, Mapita Cortés",Horror,Two doctors make a pact in which they swear that the first to die will return - if possible - to tell the other how to get a glimpse of the afterlife while still alive.
77,Kyôfu kikei ningen: Edogawa Rampo zenshû,1969,1h 39m,Not Rated,6.4, (2.1K),Teruo Ishii,"Teruo Yoshida, Yukie Kagawa, Teruko Yumi",Horror,"After escaping from an insane asylum, a medical student assumes the identity of a mysterious dead man, who appeared to be his doppelganger, and gets lured to a sinister island ruled by a mad scientist and his malformed men."
78,Shocker,1989,1h 49m,15,5.5, (19K),Wes Craven,"Mitch Pileggi, John Tesh, Heather Langenkamp",Horror,"A psychotic serial killer is finally caught thanks to a high school football player who has a strange connection to the killer. Right before getting executed, he performs a demonic ritual and uses electricity to come back from the dead."
79,Popcorn,1991,1h 31m,18,5.9, (6.9K),Mark Herrier,"Alan Ormsby, Jill Schoelen, Tom Villard, Dee Wallace",Horror,A master of disguise deranged killer begins killing off the college students who are organizing a horror-movie marathon in an abandoned theater.
80,Honeymoon,2014,1h 27m,15,5.7, (28K),Leigh Janiak,"Rose Leslie, Harry Treadaway, Ben Huber",Horror,A newlywed couple finds their lake-country honeymoon descend into chaos after Paul finds Bea wandering and disoriented in the middle of the night.
81,Scars of Dracula,1970,1h 35m,R,6.0, (7K),Roy Ward Baker,"Christopher Lee, Dennis Waterman, Jenny Hanley",Horror,"A young man is murdered while spending the night at Count Dracula's castle, prompting his brother to come to the small town where all the traces end to look for him."
82,Bride of Re-Animator,1990,1h 36m,R,6.2, (19K),Brian Yuzna,"Jeffrey Combs, Bruce Abbott, Claude Earl Jones",Horror,Doctors Herbert West and Dan Cain discover the secret to creating human life and proceed to create a perfect woman from dead tissue.
83,Dracula A.D. 1972,1972,1h 36m,PG,5.9, (8.1K),Alan Gibson,"Christopher Lee, Peter Cushing, Stephanie Beacham",Horror,"In 1972 London - a century after his final battle with Professor Van Helsing - Count Dracula is resurrected by occultist Johnny Alucard, and goes after his archenemy's descendants."
84,The Awakening,2011,1h 42m,15,6.5, (71K),Nick Murphy,"Rebecca Hall, Dominic West, Imelda Staunton",Horror,"In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show themselves."
85,The Dark Half,1993,2h 2m,18,6.0, (22K),George A. Romero,"Patrick Brannan, Larry John Meyers, Beth Grant",Horror,A writer's fictional alter ego wants to take over his life...at any price.
86,The Uninvited,2009,1h 27m,15,6.3, (88K),Charles Guard,"Thomas Guard, Emily Browning, Arielle Kebbel, David Strathairn",Horror,"Anna returns home after a stint in a mental hospital, but her recovery is jeopardized by her father's new girlfriend and ghastly visions of her dead mother."
87,Mum & Dad,2008,1h 24m,Not Rated,5.9, (6.7K),Steven Sheil,"Perry Benson, Dido Miles, Olga Fedori",Horror,"Lena, a young Polish immigrant working as a cleaner at an airport, is invited to the family home of a co-worker, which turns sinister quickly as the family intend to 'adopt' her."
88,The Ghoul,1933,1h 20m,Approved,5.8, (3.6K),T. Hayes Hunter,"Boris Karloff, Cedric Hardwicke, Ernest Thesiger",Horror,An Egyptologist returns from the dead to take revenge on those who have violated his tomb.
89,Below,2002,1h 45m,R,6.1, (26K),David Twohy,"Chuck Ellsworth, Crispin Layfield, Holt McCallany",Horror,"The crew of a U.S. Navy submarine in World War II rescues survivors from a sunken ship, only to face a series of mysterious deaths and supernatural occurrences."
90,Trauma,1993,1h 46m,15,5.8, (8.7K),Dario Argento,"Christopher Rydell, Asia Argento, Piper Laurie",Horror,A young man tries to help a teenage girl find the serial killer who murdered her parents before the killer comes after them.
91,TerrorVision,1986,1h 25m,R,5.5, (8.3K),Ted Nicolaou,"Diane Franklin, Gerrit Graham, Mary Woronov",Horror,"""TerrorVision"" is a 1986 horror / science fiction movie; telling the tale of when a family's new satellite television system starts receiving signals from another planet, and soon it becomes the passageway to an alien world."
92,Unfriended,2014,1h 23m,15,5.6, (86K),Levan Gabriadze,"Heather Sossaman, Matthew Bohrer, Courtney Halverson",Horror,"A group of online chatroom friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend."
93,Secuestrados,2010,1h 25m,18,6.4, (8.9K),Miguel Ángel Vivas,"Fernando Cayo, Manuela Vellés, Ana Wagener",Horror,"Three hooded Eastern-European criminals burst into a home in a Madrid gated community, holding the family hostage in their home, and forcing the father to empty his credit cards."
94,더 싸이킥,1977,1h 35m,R,6.8, (7.4K),Lucio Fulci,"Jennifer O'Neill, Gabriele Ferzetti, Marc Porel",Horror,"A clairvoyant woman discovers a skeleton in a wall in her husband's house, and seeks to find the truth about what happened to the victim."
95,Maléfique,2002,1h 30m,Not Rated,6.2, (4.8K),Eric Valette,"Gérald Laroche, Philippe Laudenbach, Clovis Cornillac",Horror,Four prisoners find an ancient diary in the wall of their cell which might be the key to getting out.
96,Blue Sunshine,1977,1h 34m,R,5.9, (3.5K),Jeff Lieberman,"Zalman King, Deborah Winters, Mark Goddard",Horror,"A bizarre series of murders begins in Los Angeles, where people start going bald and then become homicidal maniacs. But could the blame rest on a particularly dangerous form of LSD called Blue Sunshine the murderers took ten years before?"
97,야수,1975,1h 38m,Not Rated,5.7, (5.9K),Walerian Borowczyk,"Sirpa Lane, Lisbeth Hummel, Elisabeth Kaza",Horror,In order to inherit a fortune a young woman agrees to marry a young man. She soon discovers that his family harbours a dark past involving a monstrous beast.
98,Friday the 13th Part VII: The New Blood,1988,1h 28m,18,5.2, (46K),John Carl Buechler,"Jennifer Banko, John Otrin, Susan Blu",Horror,"Jason Voorhees is accidentally freed from his watery prison by a telekinetic teenager. Now, only she can stop him."
99,Kitchen Sink,1989,14m,,7.3, (1.3K),Alison Maclean,"Theresa Healey, Peter Tait, Annagretta Christian",Horror,A woman finds something quaint in her kitchen sink and feels strangely captivated towards it.
100,Red White & Blue,2010,1h 44m,Not Rated,6.3, (6.3K),Simon Rumley,"Amanda Fuller, Marc Senter, Jon Michael Davis",Horror,A woman attracts the attention of a psychopathic former Army interrogator and an emotionally fragile young man caring for his depressed mother.
101,Play Misty for Me,1971,1h 42m,18,6.9, (34K),Clint Eastwood,"Clint Eastwood, Jessica Walter, Donna Mills",Horror,The life of a disc jockey is turned upside down after a romantic encounter with an obsessed fan.
102,Housebound,2014,1h 47m,18,6.7, (39K),Gerard Johnstone,"Morgana O'Reilly, Rima Te Wiata, Glen-Paul Waru",Horror,"A young woman is forced to return to her childhood home after being placed under house arrest, where she suspects that something evil may be lurking."
103,Shock,1977,1h 33m,R,6.3, (5.2K),Mario Bava,"Lamberto Bava, Daria Nicolodi, John Steiner, David Colin Jr.",Horror,"A couple is terrorized in their new house haunted by the vengeful ghost of the woman's former husband, who possesses their young son."
104,Dr Jekyll & Sister Hyde,1971,1h 37m,PG,6.6, (4.4K),Roy Ward Baker,"Ralph Bates, Martine Beswick, Gerald Sim",Horror,A Victorian scientist tests a serum that transforms him into a lascivious murderess.
105,호커스 포커스,1993,1h 36m,12,6.9, (168K),Kenny Ortega,"Bette Midler, Sarah Jessica Parker, Kathy Najimy",Horror,"A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century."
106,Brainscan,1994,1h 36m,15,6.0, (14K),John Flynn,"Edward Furlong, Frank Langella, T. Ryder Smith",Horror,"A teenager is part of an interactive video game where he kills innocent victims. Later, the murders become real."
107,The Sadist,1963,1h 32m,R,6.6, (3.3K),James Landis,"Arch Hall Jr., Helen Hovey, Richard Alden",Horror,Three people driving into Los Angeles for a Dodgers game have car trouble and pull off into an old wrecking yard where they are held at bay by a bloodthirsty psycho and his crazy girlfriend.
108,Curtains,1983,1h 29m,R,5.5, (6.5K),Richard Ciupka,"John Vernon, Samantha Eggar, Linda Thorson",Horror,Six young actresses auditioning for a movie role at a remote mansion are targeted by a mysterious masked murderer.
109,Lik wong,1991,1h 31m,18,7.0, (16K),Ngai Choi Lam,"Louis Fan, Fan Mei-Sheng, Ka-Kui Ho",Horror,"Riki-Oh, a young man who has superhuman strength, is incarcerated in a private prison, where inmates are treated like slaves. He is forced to use his unstoppable form of martial arts to destroy the corrupt officials and their lackeys."
110,더 툴박스 머더스,1978,1h 33m,R,5.2, (5.5K),Dennis Donnelly,"Cameron Mitchell, Pamelyn Ferdin, Wesley Eure",Horror,A ski-masked maniac kills apartment complex tenants with the contents of a toolbox.
111,Mother's Day,2010,1h 52m,18,6.2, (19K),Darren Lynn Bousman,"Rebecca De Mornay, Jaime King, Shawn Ashmore",Horror,The sadistic members of a villainous family return to their childhood home to terrorize the new home owners and their guests.
