Id,Title,Year,Duration,Rated,IMDb_Rating,Votes,Director,Stars,Description,Genre
18.0,폭풍 속으로,1991,2h 2m,15,7.3, (219K),Kathryn Bigelow,"Patrick Swayze, Keanu Reeves, Gary Busey",An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,Action
19.0,Zero Tolerance,1994,1h 28m,R,5.3, (739),Joseph Merhi,"Robert Patrick, Titus Welliver, Mick Fleetwood","Jeff is an FBI agent sent to pick up Ray Manta, a member of the White Hand drug cartel, from a Mexican jail. Manta escapes, and gets revenge by killing Jeff's family. Kowalski, another member of the White Hand, is sympathetic to Jeff as he hunts down the other members of the Hand one by one, getting vengeance for his family, eventually leading to a battle with Manta.",Action
20.0,Teomineiteo 2,1991,2h 17m,12,8.6, (1.3M),James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",Action
21.0,Aliens,1986,2h 17m,12,8.4, (824K),James Cameron,"Sigourney Weaver, Carrie Henn, Michael Biehn","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",Action
22.0,Commando,1985,1h 30m,18,6.7, (185K),Mark L. Lester,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya","A retired Special Forces colonel tries to save his daughter, who was abducted by his former subordinate.",Action
23.0,Lawrence of Arabia,1962,3h 47m,12,8.3, (335K),David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",Action
24.0,Gojira vs. Mekagojira,1993,1h 48m,PG,6.5, (6.5K),Takao Okawara,"Kazuki Ômori, Masahiro Takashima, Ryoko Sano, Megumi Odaka","The United Nations assembles the ultimate weapon to defeat Godzilla, while scientists discover a fresh pteranodon egg on a remote Japanese island.",Action
25.0,The 13th Warrior,1999,1h 42m,18,6.6, (137K),John McTiernan,"Antonio Banderas, Diane Venora, Dennis Storhøi","A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.",Action
26.0,Blade II,2002,1h 57m,18,6.7, (249K),Guillermo del Toro,"Wesley Snipes, Kris Kristofferson, Ron Perlman","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.",Action
27.0,First Blood,1982,1h 33m,15,7.7, (295K),Ted Kotcheff,"Sylvester Stallone, Richard Crenna, Brian Dennehy",Green Beret veteran Rambo takes on a Pacific Northwest sheriff and the National Guard.,Action
28.0,Dawn of the Planet of the Apes,2014,2h 10m,12,7.6, (505K),Matt Reeves,"Andy Serkis, Jason Clarke, Gary Oldman",The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.,Action
29.0,Lat sau san taam,1992,2h 8m,15,7.7, (57K),John Woo,"Chow Yun-Fat, Tony Leung Chiu-wai, Teresa Sun-Kwan Mo",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,Action
30.0,The Lord of the Rings: The Two Towers,2002,2h 59m,12,8.8, (1.9M),Peter Jackson,"Bruce Allpress, Sean Astin, John Bach","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Action
31.0,Predator,1987,1h 47m,18,7.8, (487K),John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,Action
32.0,From Russia with Love,1963,1h 55m,15,7.3, (154K),Terence Young,"Sean Connery, Daniela Bianchi, Pedro Armendáriz",James Bond willingly inserts himself into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by the evil SPECTRE organization.,Action
33.0,Kelly's Heroes,1970,2h 24m,GP,7.6, (57K),Brian G. Hutton,"Clint Eastwood, Telly Savalas, Don Rickles",A group of U.S. soldiers sneaks across enemy lines in WWII France to get their hands on a secret stash of Nazi treasure.,Action
34.0,The Living Daylights,1987,2h 10m,12,6.7, (112K),John Glen,"Timothy Dalton, Maryam d'Abo, Jeroen Krabbé","James Bond is sent to investigate a KGB policy to kill all enemy spies, and uncovers an arms deal that potentially has major global ramifications.",Action
35.0,The Wild Geese,1978,2h 14m,18,6.8, (15K),Andrew V. McLaglen,"Richard Burton, Roger Moore, Richard Harris",A British banker hires a former British Army colonel turned mercenary to parachute into Africa with his team and rescue a deposed president of a southern African nation from the hands of a corrupt dictator.,Action
36.0,황야의 7인,1960,2h 8m,Approved,7.7, (109K),John Sturges,"Yul Brynner, Steve McQueen, Charles Bronson",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,Action
37.0,GoldenEye,1995,2h 10m,15,7.2, (281K),Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco","When a powerful secret defense system is stolen, James Bond is assigned to stop a Russian crime syndicate from using it.",Action
38.0,Casino Royale,2006,2h 24m,15,8.0, (729K),Martin Campbell,"Daniel Craig, Eva Green, Mads Mikkelsen","After earning a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, in Montenegro.",Action
39.0,Jing wu men,1972,1h 46m,15,7.2, (36K),Wei Lo,"Bruce Lee, Nora Miao, James Tien","During the Japanese occupation of Shanghai, the star pupil of a recently-deceased martial arts teacher battles a Japanese dojo which seeks the demise of his master's fighting school.",Action
40.0,Banlieue 13,2004,1h 24m,15,7.1, (76K),Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario","Captain Damien must team up with Leito, a local insurgent from District 13, to defuse a neutron bomb that has fallen into the hands of a local drug lord, Taha, and rescue Leito's sister Lola.",Action
41.0,이블 데드 3 - 암흑의 군단,1992,1h 21m,15,7.4, (205K),Sam Raimi,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert","When Ash Williams is accidentally transported to 1300 A.D., he must retrieve the Necronomicon and battle an army of the dead in order to return home.",Action
42.0,엣지 오브 투모로우,2014,1h 53m,12,7.9, (788K),Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson",A man fighting in a war against aliens must relive the same day every time he dies until he can find a way to stop their power source with the help of an elite soldier.,Action
43.0,Three Kings,1999,1h 54m,18,7.1, (186K),David O. Russell,"George Clooney, Mark Wahlberg, Ice Cube","In the aftermath of the Persian Gulf War, four soldiers set out to steal gold that was stolen from Kuwait, but they discover people who desperately need their help.",Action
44.0,레옹,1994,1h 50m,18,8.5, (1.3M),Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman","When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.",Action
45.0,The Rundown,2003,1h 44m,15,6.6, (147K),Peter Berg,"Dwayne Johnson, Seann William Scott, Rosario Dawson",A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.,Action
46.0,7인의 사무라이,1954,3h 27m,15,8.6, (392K),Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Action
47.0,서부 개척사,1962,2h 44m,15,7.1, (25K),John Ford,"Henry Hathaway, George Marshall, James Stewart, John Wayne, Gregory Peck","A family saga covering several decades of Westward expansion in the 19th century, including the Gold Rush, the Civil War, and the building of the railroads.",Action
48.0,RED 2,2013,1h 56m,15,6.6, (187K),Dean Parisot,"Bruce Willis, John Malkovich, Mary-Louise Parker",Retired CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.,Action
49.0,맨 온 파이어,2004,2h 26m,15,7.7, (410K),Tony Scott,"Denzel Washington, Dakota Fanning, Radha Mitchell","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Action
50.0,Bad Boys II,2003,2h 27m,18,6.6, (284K),Michael Bay,"Martin Lawrence, Will Smith, Jordi Mollà",Miami narcotics cops Mike Lowrey and Marcus Burnett investigate the flow of Ecstasy into Florida from a Cuban drug cartel.,Action
51.0,The Bushido Blade,1981,1h 44m,R,5.3, (470),Tsugunobu Kotani,"Richard Boone, Toshirô Mifune, Mike Starr",A steel samurai blade that was to be given to the American ambassador by the Emperor of Japan is stolen. American sailors and Japanese samurai are sent to find it.,Action
52.0,매트릭스,1999,2h 16m,12,8.7, (2.2M),Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Action
53.0,The Matrix Reloaded,2003,2h 18m,15,7.2, (660K),Lana Wachowski,"Lilly Wachowski, Ray Anthony, Christine Anu, Andy Arness","Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.",Action
54.0,The Matrix Revolutions,2003,2h 9m,15,6.7, (567K),Lana Wachowski,"Lilly Wachowski, Mary Alice, Tanveer K. Atwal, Helmut Bakaitis",The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.,Action
55.0,Man of Tai Chi,2013,1h 45m,15,6.0, (42K),Keanu Reeves,"Hu Chen, Keanu Reeves, Karen Mok",A young martial artist's unparalleled Tai Chi skills land him in a highly lucrative underworld fight club.,Action
56.0,Jing wu ying xiong,1994,1h 43m,15,7.5, (26K),Gordon Chan,"Jet Li, Shinobu Nakayama, Siu-Ho Chin","In 1937, a Chinese martial artist returns to Shanghai to find his teacher dead and his school harassed by the Japanese.",Action
57.0,Jui kuen II,1994,1h 42m,12,7.5, (51K),Chia-Liang Liu,"Jackie Chan, Jackie Chan, Lung Ti, Anita Mui",A young martial artist is caught between respecting his pacifist father's wishes or stopping a group of disrespectful foreigners from stealing precious artifacts.,Action
58.0,Beverly Hills Cop,1984,1h 45m,15,7.4, (228K),Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton",A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,Action
59.0,Dou foh sin,2007,1h 28m,18,6.7, (14K),Wilson Yip,"Donnie Yen, Louis Koo, Ray Lui","A hot-headed inspector takes on a small but powerful Vietnamese-Chinese gang, after a series of crimes and murder attempts committed and putting an undercover cop and his girlfriend in great danger.",Action
60.0,El Cid,1961,3h 2m,Approved,7.2, (17K),Anthony Mann,"Charlton Heston, Sophia Loren, Raf Vallone",The fabled Spanish hero Rodrigo Diaz de Vivar (a.k.a. El Cid) overcomes a family vendetta and court intrigue to defend Christian Spain against the Moors.,Action
61.0,Saat po long,2005,1h 33m,18,6.9, (14K),Wilson Yip,"Donnie Yen, Simon Yam, Sammo Kam-Bo Hung","A near retired inspector and his unit are willing to put down a crime boss at all costs while dealing with his replacement, who is getting in their way. Meanwhile, the crime boss sends his top henchmen to put an end to their dirty schemes.",Action
62.0,Crimson Tide,1995,1h 56m,15,7.4, (133K),Tony Scott,"Denzel Washington, Gene Hackman, Matt Craven","On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",Action
63.0,King Kong vs. Godzilla,1962,1h 37m,15,5.7, (12K),Ishirô Honda,"Tom Montgomery, Michael Keith, Harry Holcombe, James Yagi","A UN reporter covers the appearance of a prehistoric monster that emerges from hibernation, while a pharmaceutical company seeks publicity with a monster of their own.",Action
64.0,Star Trek: First Contact,1996,1h 51m,15,7.6, (136K),Jonathan Frakes,"Patrick Stewart, Jonathan Frakes, Brent Spiner",The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,Action
65.0,The French Connection,1971,1h 44m,18,7.7, (148K),William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",Action
66.0,Rambo: First Blood Part II,1985,1h 36m,15,6.5, (193K),George P. Cosmatos,"Sylvester Stallone, Richard Crenna, Charles Napier",Ex-Green Beret goes on a reconnaissance mission to spring MIAs from a Viet Cong prison.,Action
67.0,Rambo III,1988,1h 42m,R,5.8, (147K),Peter MacDonald,"Sylvester Stallone, Richard Crenna, Marc de Jonge",Loner Rambo leaves a Buddhist monastery to free his Green Beret mentor from Soviets in Afghanistan.,Action
68.0,Ran,1985,2h 40m,15,8.2, (148K),Akira Kurosawa,"Tatsuya Nakadai, Akira Terao, Jinpachi Nezu","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",Action
69.0,Air Force One,1997,2h 4m,15,6.5, (221K),Wolfgang Petersen,"Harrison Ford, Gary Oldman, Glenn Close","Communist radicals led by Ivan Korshunov hijack Air Force One with US President James Marshall and his family on board. Vice President Kathryn Bennett negotiates from Washington D.C., while Marshall fights to rescue the hostages on board.",Action
70.0,The Expendables,2010,1h 43m,18,6.4, (376K),Sylvester Stallone,"Sylvester Stallone, Jason Statham, Jet Li",A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.,Action
71.0,글래디에이터,2000,2h 35m,15,8.5, (1.8M),Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,Action
72.0,Enemy of the State,1998,2h 12m,15,7.3, (271K),Tony Scott,"Will Smith, Gene Hackman, Jon Voight",A lawyer becomes targeted by a corrupt politician and his N.S.A. goons when he accidentally receives key evidence to a politically motivated crime.,Action
73.0,Safe,2012,1h 34m,18,6.5, (123K),Boaz Yakin,"Jason Statham, Catherine Chan, Robert John Burke","Mei, a young girl whose memory holds a priceless numerical code, finds herself pursued by the Triads, the Russian mob, and corrupt NYC cops. Coming to her aid is an ex-cage fighter whose life was destroyed by the gangsters on Mei's trail.",Action
74.0,The Boondock Saints,1999,1h 48m,18,7.6, (260K),Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus",Two Irish Catholic brothers become vigilantes in order to try to wipe out Boston's criminal underworld in the name of God.,Action
75.0,Lethal Weapon,1987,1h 49m,15,7.6, (291K),Richard Donner,"Mel Gibson, Danny Glover, Gary Busey",Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Action
76.0,Con Air,1997,1h 55m,15,6.9, (335K),Simon West,"Colm Meaney, Mykelti Williamson, Nick Chinlund","Former US Army Ranger, Cameron Poe, has just been paroled for manslaughter, but must stop a group of violent and deadly criminals from escaping the country after they seize control of the prison transport plane he is on.",Action
77.0,Faster,2010,1h 38m,15,6.4, (116K),George Tillman Jr.,"Dwayne Johnson, Mauricio Lopez, Jim Gaines",An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,Action
78.0,Mr.,2005,2h,15,6.5, (579K),Doug Liman,"Brad Pitt, Angelina Jolie, Vince Vaughn","A husband and wife struggle to keep their marriage alive until they realize they are both secretly working as assassins. Now, their respective assignments require them to kill each other.",Action
79.0,Salt,2010,1h 40m,15,6.5, (340K),Phillip Noyce,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor",A CIA agent goes on the run after a defector accuses her of being a Russian spy.,Action
80.0,Tears of the Sun,2003,2h 1m,12,6.6, (136K),Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser",A Special-Ops commander leads his team into the Nigerian jungle in order to rescue a doctor who will only join them if they agree to save 70 refugees too.,Action
81.0,Double Target,2007,2h 4m,18,7.1, (371K),Antoine Fuqua,"Mark Wahlberg, Michael Peña, Danny Glover","An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assassination attempt he was trying to prevent, he sets out for the real killer, and the truth.",Action
82.0,Hard Target,1993,1h 37m,18,6.2, (60K),John Woo,"Chuck Pfarrer, Robert Apisa, Arnold Vosloo","A woman hires a drifter as her guide through New Orleans in search of her missing father. In the process, they discover a deadly game of cat and mouse behind his disappearance.",Action
83.0,Ninja: Shadow of a Tear,2013,1h 35m,18,6.1, (14K),Isaac Florentine,"Scott Adkins, Kane Kosugi, Mika Hijii",Ninjitsu master Casey is back and out for revenge when his pregnant wife is murdered.,Action
84.0,The Green Berets,1968,2h 22m,G,5.6, (15K),Ray Kellogg,"John Wayne, Mervyn LeRoy, John Wayne, David Janssen, Jim Hutton",Col. Mike Kirby picks two teams of crack Green Berets for a mission in South Vietnam. First off is to build and control a camp that is trying to be taken by the enemy. The second mission is to kidnap a North Vietnamese General.,Action
85.0,저지 드레드,2012,1h 35m,18,7.1, (308K),Pete Travis,"Karl Urban, Rachel Wood, Andile Mngadi","In a violent, futuristic metropolis, a law enforcement and his rookie trainee become caught up in a high-stakes drug war.",Action
86.0,Starship Troopers,1997,2h 9m,18,7.3, (340K),Paul Verhoeven,"Casper Van Dien, Dina Meyer, Denise Richards","Humans, in a fascist militaristic future, wage war with giant alien bugs.",Action
87.0,Clear and Present Danger,1994,2h 21m,15,6.9, (114K),Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,Action
88.0,Red Heat,1988,1h 44m,12,6.1, (80K),Walter Hill,"Arnold Schwarzenegger, Jim Belushi, Peter Boyle",A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,Action
89.0,Demolition Man,1993,1h 55m,15,6.7, (206K),Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,Action
90.0,Streets of Fire,1984,1h 33m,18,6.7, (27K),Walter Hill,"Michael Paré, Diane Lane, Rick Moranis","A mercenary is hired to rescue his ex-girlfriend, a singer who has been kidnapped by a motorcycle gang.",Action
91.0,Death Wish 3,1985,1h 30m,R,5.8, (19K),Michael Winner,"Charles Bronson, Deborah Raffin, Ed Lauter",Architect/vigilante Paul Kersey arrives back in New York City and is forcibly recruited by a crooked police chief to fight street crime caused by a large gang terrorizing the neighborhoods.,Action
92.0,Total Recall,1990,1h 53m,18,7.5, (375K),Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone","When a man goes in to have virtual vacation memories of the planet Mars implanted in his mind, an unexpected and harrowing series of events forces him to go to the planet for real - or is he?",Action
93.0,Eraser,1996,1h 55m,15,6.2, (123K),Chuck Russell,"Arnold Schwarzenegger, James Caan, Vanessa Williams",A Witness Protection specialist becomes suspicious of his co-workers when dealing with a case involving high-tech weapons.,Action
94.0,Minority Report,2002,2h 25m,15,7.6, (611K),Steven Spielberg,"Tom Cruise, Max von Sydow, Steve Harris","John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder.",Action
95.0,블레이드,1998,2h,18,7.1, (324K),Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson","A half-vampire, half-mortal man becomes a protector of the mortal race, while slaying evil vampires.",Action
96.0,Executive Decision,1996,2h 13m,15,6.5, (64K),Stuart Baird,"Kurt Russell, Steven Seagal, Halle Berry","When terrorists seize control of an airliner, an intelligence analyst accompanies a commando unit for a midair boarding operation.",Action
97.0,Desperado,1995,1h 44m,18,7.1, (206K),Robert Rodriguez,"Antonio Banderas, Salma Hayek, Joaquim de Almeida",Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,Action
98.0,The Fugitive,1993,2h 10m,15,7.8, (339K),Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Action
99.0,Wong Fei Hung,1991,2h 14m,15,7.2, (21K),Hark Tsui,"Jet Li, Biao Yuen, Rosamund Kwan","Legendary martial arts hero Wong Fei-Hung fights against foreign forces' plundering of China. When Aunt Yee arrives back from America, Wong Fei-Hung assumes the role of her protector.",Action
100.0,인디아나 존스 - 마궁의 사원,1984,1h 58m,12,7.5, (560K),Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan","In 1935, Indiana Jones is tasked by Indian villagers with reclaiming a sacred stone stolen from them by a secret cult.",Action
101.0,Indiana Jones and the Last Crusade,1989,2h 7m,15,8.2, (850K),Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.",Action
102.0,Lo foo chut gang,1988,1h 33m,18,6.9, (2.3K),Chia-Liang Liu,"Chow Yun-Fat, Nina Li Chi, Conan Lee",A seasoned cop and his rookie partner are a pair of mismatched partners in this Hong Kong action-comedy in the style of 'Lethal Weapon'. The wacky twosome are up in arms as they try to solve the murder of a heroin trafficker.,Action
103.0,Ben-Hur,1959,3h 32m,All,8.1, (267K),William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet","A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.",Action
104.0,From Dusk Till Dawn,1996,1h 48m,18,7.2, (362K),Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel","Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",Action
105.0,Tomorrow Never Dies,1997,1h 59m,15,6.5, (212K),Roger Spottiswoode,"Pierce Brosnan, Jonathan Pryce, Michelle Yeoh",James Bond sets out to stop a media mogul's plan to induce a war between China and the United Kingdom.,Action
106.0,The Bourne Identity,2002,1h 59m,12,7.8, (603K),Doug Liman,"Matt Damon, Franka Potente, Chris Cooper","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",Action
107.0,You Only Live Twice,1967,1h 57m,15,6.8, (124K),Lewis Gilbert,"Sean Connery, Akiko Wakabayashi, Mie Hama","James Bond and the Japanese Secret Service must find and stop the true culprit of a series of space hijackings, before war is provoked between Russia and the United States.",Action
108.0,Dr. No,1962,1h 50m,15,7.2, (189K),Terence Young,"Sean Connery, Ursula Andress, Joseph Wiseman",A resourceful British government agent seeks answers in a case involving the disappearance of a colleague and the disruption of the American space program.,Action
109.0,Fei lung mang jeung,1988,1h 33m,12,7.1, (10K),Sammo Kam-Bo Hung,"Corey Yuen, Jackie Chan, Sammo Kam-Bo Hung, Biao Yuen",Three successful Hong Kong lawyers are hired by a chemical company of questionable ethics and must eventually make a difficult decision when their employer's motives become clear.,Action
